Trade #,Type,Signal,Date/Time,Price USDT,Contracts,Profit USDT,Profit %,Cum. Profit USDT,Cum. Profit %,Run-up USDT,Run-up %,Drawdown USDT,Drawdown %
792,Exit Long,Close entry(s) order Long,2024-09-23 06:00,63492.00,0.03344,10.97,0.52,5560.29,0.01,54.60,2.59,25.25,1.20
792,Entry Long,Long,2024-09-22 15:00,63062.66,0.03344,10.97,0.52,5560.29,0.01,54.60,2.59,25.25,1.20
791,Exit Long,Close entry(s) order Long,2024-09-22 00:00,62957.31,0.0334,-9.47,-0.45,5549.32,-0.01,12.34,0.58,12.04,0.57
791,Entry Long,Long,2024-09-21 18:00,63139.99,0.0334,-9.47,-0.45,5549.32,-0.01,12.34,0.58,12.04,0.57
790,Exit Long,Close entry(s) order Long,2024-09-21 18:00,63139.99,0.03332,-8.70,-0.41,5558.79,-0.01,1.64,0.08,9.62,0.46
790,Entry Long,Long,2024-09-21 12:00,63300.00,0.03332,-8.70,-0.41,5558.79,-0.01,1.64,0.08,9.62,0.46
789,Exit Long,Close entry(s) order Long,2024-09-19 06:00,61932.01,0.03415,2.50,0.12,5567.49,0.00,26.64,1.26,8.69,0.41
789,Entry Long,Long,2024-09-18 21:00,61759.98,0.03415,2.50,0.12,5567.49,0.00,26.64,1.26,8.69,0.41
788,Exit Long,Close entry(s) order Long,2024-09-14 00:00,60288.00,0.03606,62.60,2.97,5565.00,0.06,76.50,3.63,5.11,0.24
788,Entry Long,Long,2024-09-13 12:00,58456.89,0.03606,62.60,2.97,5565.00,0.06,76.50,3.63,5.11,0.24
787,Exit Long,Close entry(s) order Long,2024-09-13 00:00,58050.80,0.03611,-15.58,-0.74,5502.39,-0.01,0.55,0.03,23.64,1.12
787,Entry Long,Long,2024-09-12 15:00,58389.11,0.03611,-15.58,-0.74,5502.39,-0.01,0.55,0.03,23.64,1.12
786,Exit Long,Close entry(s) order Long,2024-09-12 09:00,58058.00,0.03654,9.92,0.47,5517.97,0.01,26.67,1.26,19.33,0.92
786,Entry Long,Long,2024-09-11 15:00,57694.00,0.03654,9.92,0.47,5517.97,0.01,26.67,1.26,19.33,0.92
785,Exit Long,Close entry(s) order Long,2024-09-10 00:00,56775.27,0.03842,70.92,3.36,5508.06,0.07,123.10,5.84,2.15,0.10
785,Entry Long,Long,2024-09-09 12:00,54840.00,0.03842,70.92,3.36,5508.06,0.07,123.10,5.84,2.15,0.10
784,Exit Long,Close entry(s) order Long,2024-09-09 12:00,54840.00,0.03814,-18.77,-0.89,5437.13,-0.02,19.48,0.92,18.47,0.88
784,Entry Long,Long,2024-09-09 06:00,55244.00,0.03814,-18.77,-0.89,5437.13,-0.02,19.48,0.92,18.47,0.88
783,Exit Short,Close entry(s) order Short,2024-09-06 21:00,53962.97,0.03775,65.39,3.10,5455.90,0.06,120.36,5.71,47.93,2.27
783,Entry Short,Short,2024-09-06 06:00,55783.01,0.03775,65.39,3.10,5455.90,0.06,120.36,5.71,47.93,2.27
782,Exit Short,Close entry(s) order Short,2024-09-05 21:00,56180.00,0.03714,15.89,0.75,5390.51,0.02,37.47,1.78,25.90,1.23
782,Entry Short,Short,2024-09-05 09:00,56698.01,0.03714,15.89,0.75,5390.51,0.02,37.47,1.78,25.90,1.23
781,Exit Short,Close entry(s) order Short,2024-09-04 06:00,56783.01,0.0365,29.14,1.38,5374.63,0.03,73.76,3.50,22.79,1.08
781,Entry Short,Short,2024-09-03 12:00,57672.84,0.0365,29.14,1.38,5374.63,0.03,73.76,3.50,22.79,1.08
780,Exit Short,Close entry(s) order Short,2024-09-02 03:00,57785.00,0.03674,-21.14,-1.00,5345.49,-0.02,4.70,0.22,26.90,1.28
780,Entry Short,Short,2024-09-01 21:00,57301.77,0.03674,-21.14,-1.00,5345.49,-0.02,4.70,0.22,26.90,1.28
779,Exit Short,Close entry(s) order Short,2024-09-01 15:00,58127.98,0.03596,11.47,0.54,5366.62,0.01,46.48,2.21,6.42,0.30
779,Entry Short,Short,2024-09-01 00:00,58540.25,0.03596,11.47,0.54,5366.62,0.01,46.48,2.21,6.42,0.30
778,Exit Short,Close entry(s) order Short,2024-08-30 18:00,59048.00,0.03602,-24.46,-1.16,5355.16,-0.02,25.76,1.22,34.39,1.63
778,Entry Short,Short,2024-08-30 12:00,58462.89,0.03602,-24.46,-1.16,5355.16,-0.02,25.76,1.22,34.39,1.63
777,Exit Short,Close entry(s) order Short,2024-08-30 06:00,59445.00,0.03557,-12.00,-0.57,5379.62,-0.01,16.72,0.79,15.37,0.73
777,Entry Short,Short,2024-08-30 00:00,59202.50,0.03557,-12.00,-0.57,5379.62,-0.01,16.72,0.79,15.37,0.73
776,Exit Short,Close entry(s) order Short,2024-08-28 06:00,59224.00,0.03349,116.94,5.55,5391.62,0.11,158.38,7.52,6.34,0.30
776,Entry Short,Short,2024-08-27 06:00,62813.38,0.03349,116.94,5.55,5391.62,0.11,158.38,7.52,6.34,0.30
775,Exit Long,Close entry(s) order Long,2024-08-24 00:00,63949.99,0.03338,28.32,1.35,5274.68,0.03,63.58,3.02,13.06,0.62
775,Entry Long,Long,2024-08-23 15:00,62999.88,0.03338,28.32,1.35,5274.68,0.03,63.58,3.02,13.06,0.62
774,Exit Long,Close entry(s) order Long,2024-08-23 06:00,61321.40,0.03429,-3.36,-0.16,5246.36,0.00,0,0.00,1.68,0.08
774,Entry Long,Long,2024-08-23 06:00,61321.40,0.03429,-3.36,-0.16,5246.36,0.00,0,0.00,1.68,0.08
773,Exit Long,Close entry(s) order Long,2024-08-22 00:00,60186.49,0.03509,5.68,0.27,5249.72,0.01,64.73,3.08,8.82,0.42
773,Entry Long,Long,2024-08-21 15:00,59928.42,0.03509,5.68,0.27,5249.72,0.01,64.73,3.08,8.82,0.42
772,Exit Short,Close entry(s) order Short,2024-08-21 00:00,59363.32,0.03474,36.81,1.75,5244.04,0.03,66.78,3.17,16.87,0.80
772,Entry Short,Short,2024-08-20 09:00,60518.83,0.03474,36.81,1.75,5244.04,0.03,66.78,3.17,16.87,0.80
771,Exit Long,Close entry(s) order Long,2024-08-20 09:00,60518.83,0.0356,49.90,2.37,5207.23,0.05,82.99,3.95,11.99,0.57
771,Entry Long,Long,2024-08-19 15:00,59021.61,0.0356,49.90,2.37,5207.23,0.05,82.99,3.95,11.99,0.57
770,Exit Long,Close entry(s) order Long,2024-08-18 15:00,59527.58,0.03495,-24.26,-1.15,5157.33,-0.02,3.88,0.18,32.07,1.52
770,Entry Long,Long,2024-08-18 00:00,60125.99,0.03495,-24.26,-1.15,5157.33,-0.02,3.88,0.18,32.07,1.52
769,Exit Long,Close entry(s) order Long,2024-08-17 18:00,59397.13,0.0353,-8.24,-0.39,5181.59,-0.01,4.13,0.20,10.19,0.48
769,Entry Long,Long,2024-08-17 12:00,59535.37,0.0353,-8.24,-0.39,5181.59,-0.01,4.13,0.20,10.19,0.48
768,Exit Short,Close entry(s) order Short,2024-08-16 00:00,58199.98,0.03711,-60.15,-2.86,5189.83,-0.06,0.73,0.03,70.20,3.34
768,Entry Short,Short,2024-08-15 18:00,56671.06,0.03711,-60.15,-2.86,5189.83,-0.06,0.73,0.03,70.20,3.34
767,Exit Long,Short,2024-08-15 18:00,56671.06,0.03543,-100.56,-4.77,5249.98,-0.10,13.66,0.65,119.94,5.69
767,Entry Long,Long,2024-08-15 12:00,59416.36,0.03543,-100.56,-4.77,5249.98,-0.10,13.66,0.65,119.94,5.69
766,Exit Short,Close entry(s) order Short,2024-08-15 03:00,58315.01,0.03536,38.66,1.84,5350.53,0.04,51.10,2.43,13.67,0.65
766,Entry Short,Short,2024-08-14 12:00,59502.67,0.03536,38.66,1.84,5350.53,0.04,51.10,2.43,13.67,0.65
765,Exit Long,Close entry(s) order Long,2024-08-14 03:00,60834.64,0.03527,38.61,1.83,5311.87,0.04,66.55,3.16,11.96,0.57
765,Entry Long,Long,2024-08-13 12:00,59643.63,0.03527,38.61,1.83,5311.87,0.04,66.55,3.16,11.96,0.57
764,Exit Long,Close entry(s) order Long,2024-08-12 18:00,58841.96,0.03516,-38.84,-1.84,5273.26,-0.04,28.53,1.35,73.82,3.51
764,Entry Long,Long,2024-08-12 09:00,59851.71,0.03516,-38.84,-1.84,5273.26,-0.04,28.53,1.35,73.82,3.51
763,Exit Long,Close entry(s) order Long,2024-08-09 03:00,60988.99,0.03664,129.35,6.15,5312.10,0.12,195.48,9.29,27.09,1.29
763,Entry Long,Long,2024-08-08 00:00,57364.00,0.03664,129.35,6.15,5312.10,0.12,195.48,9.29,27.09,1.29
762,Exit Short,Long,2024-08-08 00:00,57364.00,0.03749,-51.32,-2.44,5182.75,-0.05,55.57,2.64,59.81,2.84
762,Entry Short,Short,2024-08-07 12:00,56085.83,0.03749,-51.32,-2.44,5182.75,-0.05,55.57,2.64,59.81,2.84
761,Exit Short,Close entry(s) order Short,2024-08-05 12:00,54061.67,0.03522,191.39,9.11,5234.08,0.18,371.18,17.67,2.15,0.10
761,Entry Short,Short,2024-08-04 12:00,59586.69,0.03522,191.39,9.11,5234.08,0.18,371.18,17.67,2.15,0.10
760,Exit Short,Close entry(s) order Short,2024-08-04 00:00,60886.96,0.03465,-14.14,-0.67,5042.69,-0.01,23.48,1.12,20.45,0.97
760,Entry Short,Short,2024-08-03 15:00,60575.99,0.03465,-14.14,-0.67,5042.69,-0.01,23.48,1.12,20.45,0.97
759,Exit Short,Close entry(s) order Short,2024-08-03 03:00,61694.00,0.03322,45.31,2.16,5056.83,0.04,86.45,4.12,17.57,0.84
759,Entry Short,Short,2024-08-02 12:00,63157.95,0.03322,45.31,2.16,5056.83,0.04,86.45,4.12,17.57,0.84
758,Exit Short,Close entry(s) order Short,2024-08-01 18:00,64760.01,0.03283,-30.44,-1.45,5011.51,-0.03,51.96,2.47,29.26,1.39
758,Entry Short,Short,2024-08-01 12:00,63935.83,0.03283,-30.44,-1.45,5011.51,-0.03,51.96,2.47,29.26,1.39
757,Exit Short,Close entry(s) order Short,2024-08-01 06:00,64507.18,0.03249,-0.48,-0.02,5041.95,0.00,31.19,1.49,19.23,0.92
757,Entry Short,Short,2024-07-31 18:00,64595.81,0.03249,-0.48,-0.02,5041.95,0.00,31.19,1.49,19.23,0.92
756,Exit Short,Close entry(s) order Short,2024-07-30 03:00,66484.01,0.03014,90.03,4.29,5042.43,0.09,110.38,5.26,16.75,0.80
